"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
0.999312559619578,0.0362969048009632,0.0409958907946331,0.0206668155619223,0.0716034862668418,0.999312559619578,0.0168017537634269,0.990982498502926,0.0206668155619223,0.0321228941270651,0.0508162290607278
0.0362969048009632,0.999312559619758,0.0518283738774845,0.0398949118003033,0.0382565125282752,0.0362969048009632,0.996327134236975,0.990918576808419,0.0398949118003033,0.0494648194517147,0.0271138457748382
0.0409958907946331,0.0518283738774845,0.999312559619757,0.0748404503602371,0.0303671860117691,0.0409958907946331,0.0648098770687442,0.999200370992862,0.0748404503602371,0.0706392840984983,0.0259216042707161
0.0206668155619223,0.0398949118003033,0.0748404503602371,0.999312559619578,0.0392790273742961,0.0206668155619223,0.0270289947547453,0.990663522475663,0.999312559619578,0.0342558289069066,0.0446091368430716
0.0716034862668418,0.0382565125282869,0.0303671860117691,0.0392790273742961,0.999312559619754,0.0716034862668418,0.0569343708226791,0.991283803645733,0.0392790273742961,0.997889585088805,0.0486136855389905
0.999312559619578,0.0362969048009632,0.0409958907946331,0.0206668155619223,0.0716034862668418,0.999312559619578,0.0168017537634269,0.990982498502926,0.0206668155619223,0.0321228941270651,0.0508162290607278
0.0168017537634269,0.996327134236975,0.0648098770687442,0.0270289947547453,0.0569343708226791,0.0168017537634269,0.999312559619757,0.990818460076461,0.0270289947547453,0.0513879961753272,0.0483070247278935
0.990982498502925,0.990918576808419,0.999200370992863,0.990663522475663,0.991283803645747,0.990982498502925,0.990818460076461,NA,0.990663522475663,0.991117512346072,0.9911323937321
0.0206668155619223,0.0398949118003033,0.0748404503602371,0.999312559619578,0.0392790273742961,0.0206668155619223,0.0270289947547453,0.990663522475663,0.999312559619578,0.0342558289069066,0.0446091368430716
0.0321228941270928,0.0494648194517147,0.070639284098511,0.0342558289069066,0.997889585088804,0.0321228941270928,0.0513879961753445,0.991117512346072,0.0342558289069066,0.999312559619755,0.0323867974263662
0.0508162290607278,0.0271138457748382,0.0259216042707161,0.0446091368430716,0.0486136855389905,0.0508162290607278,0.0483070247278935,0.9911323937321,0.0446091368430716,0.0323867974263662,0.999312559619577
