"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
0.909073981807357,0.909081232880678,0.909073176206658,0.909071102110793,-0.909148295082716,0.884831021543745,0.909082032190726,0.909082032190809,0.895008135793373,0.906748933480797,0.908832554637388
0.909081232880679,0.909088484011837,0.909099734468213,0.909078353161146,-0.909141046438236,0.884838079247235,0.90908928332826,0.909089283328344,0.895015274672877,0.906756166008768,0.908839803785008
0.909073176206658,0.909099734468213,-0.909107787785077,0.909109860069906,0.909030948862965,0.884830237426606,0.909098935172129,0.909098935172213,0.895007342657507,0.906748129940503,0.908831749250637
0.909071102110793,0.909078353161146,-0.909109860069906,0.909068222423352,0.909028874863444,0.884828218642217,0.909079152468661,0.909079152468745,0.895005300653544,0.906746061149348,0.9088296757056
-0.909148295082716,0.909141046438236,0.909030948862965,0.909028874863444,-0.909190414334397,0.884789920271993,0.909140247105829,0.909140247105913,0.894966561784649,0.906706814100466,-0.909386964707175
0.884831021543745,0.884838079247235,0.884830237426606,0.884828218642218,0.884789920271994,0.861234566552646,0.88483885724148,0.884838857241561,0.871140280034802,0.882567977031308,0.884596032693875
0.909082032190725,0.90908928332826,0.909098935172129,0.909079152468661,0.909140247105829,0.884838857241479,0.909090082645372,0.909090082645466,0.895016061615424,0.906756963274499,0.908840602882778
0.909082032190809,0.909089283328344,0.909098935172213,0.909079152468745,0.909140247105913,0.884838857241561,0.909090082645466,0.909090082645547,0.895016061615507,0.906756963274583,0.908840602882862
0.895008135793373,0.895015274672877,0.895007342657507,0.895005300653544,0.894966561784649,0.871140280034801,0.895016061615424,0.895016061615507,0.881159926658288,0.892719062285575,0.894770444158096
0.906748933480797,0.906756166008768,0.906748129940503,0.906746061149348,0.906706814100466,0.882567977031308,0.906756963274499,0.906756963274583,0.892719062285575,-0.913316973358985,0.906508123785148
0.908832554637388,0.908839803785008,0.908831749250637,0.9088296757056,-0.909386964707175,0.884596032693875,0.908840602882778,0.908840602882862,0.894770444158096,0.906508123785148,0.9085911915844
