"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
NA,0.777169386308996,0.802948127819149,0.798933674103174,0.786664131077626,0.722398438481984,0.804573878728631,0.685188221034159,0.918831281983842,0.843507748478174,0.925453685560274
0.777169386308996,0,0.785927518591974,0.785766592502411,0.798272480872255,NA,0.729974335613835,0.677523638591846,1.01994298940152,0.861240921396686,0.867616289170565
0.801692414949189,0.795246402992715,0,0.810354019990498,0.798087699119409,1.08761321326389,0.751358074572268,0.882981996166166,0.912710404226378,0.861357966167122,1.01010771450389
0.784559118976018,0.793531659312913,0.818890695796623,0,0.814438135524454,1.087013216313,NA,0.871573272914275,0.860240716920209,0.865602753095599,0.859175974088321
0.790689474210306,0.78868331401103,0.801725815286252,0.811619065294207,0,0.670073771474207,0.877708358003784,1.02001485218344,0.927371224588796,0.857630207495718,0.878265780976229
0.770947058910436,0.82442981589468,0.822581999752023,0.927856349899126,1.06329480936351,0,0.771863703153856,0.80646072728767,0.95379200263353,0.8192340614128,0.813961721750103
0.756281830140567,0.808391091447026,0.80462417642771,0.746508356947865,0.802999463678704,0.829535661659365,0,0.890238260453998,0.936297254565351,0.970682062564991,0.900749177101238
0.879272051806868,1.08666930967008,0.884012207033701,0.871573272914275,0.876785771722083,0.758198350190955,1.06674492360976,0,0.855905545528452,NA,0.959553419166602
0.918831281983842,0.913218123693034,0.931588818573475,0.917898757784041,0.927371224588796,0.810982018673536,0.937391777057098,0.824309034137004,0,NA,0.81616992439799
0.843507748478174,0.855137598670958,0.859061717495349,NA,0.911050689969789,0.817332053130459,0.876582218422008,0.876436078561416,0.787285773942277,0,NA
0.925453685560274,0.861918390087128,0.933677748132409,0.863895937511327,0.884689037586943,0.696953893148922,0.870178322949192,0.863966112067096,0.866073809694863,0.779767236755705,0
